k,metric,accuracy,time_ms
5,cosine,0.7454598796223939,1129.3848149332355
5,euclidean,0.7973282438446077,438.71118497567323
5,fidelity,0.7603376410234396,978.7625906893271
8,cosine,0.7712780863773742,1925.5461294854933
8,euclidean,0.8082450321128885,738.7849009172836
8,fidelity,0.780996806550406,1665.4153125103362
10,cosine,0.786991466938853,2492.613909225447
10,euclidean,0.8299325138763103,847.114453552205
10,fidelity,0.804112724560516,2038.957817501449
