k,metric,accuracy,time_ms
5,cosine,0.7324835707650561,1193.0867849414408
5,euclidean,0.7732384426905033,526.1514928204012
5,fidelity,0.7388292331263833,1038.2931521525409
8,cosine,0.767896064077537,1958.3717364576455
8,euclidean,0.7976526280703252,747.1280021792983
8,fidelity,0.7676829115359377,1656.713512321487
10,cosine,0.7812098113578302,2304.33598776711
10,euclidean,0.8113754108374348,871.8856235379513
10,fidelity,0.7849358443983279,2115.712366629764
